# Tol 0.001, Reset Probability: 0.15
(4037,32.84294411698189)
(15,26.12425093530174)
(6634,25.324758401496208)
(2625,23.143419134686113)
(2398,18.458414261565444)
(2470,18.05052273372054)
(2237,17.818774515740532)
(4191,16.089257624303684)
(7553,15.35622530528436)
(5254,15.256482858638067)
(1186,14.530229937905963)
(2328,14.423941542859852)
(1297,13.746604788350346)
(7620,13.694010440363517)
(4335,13.634003902455996)
(5412,13.516166649933307)
(7632,13.503179877882802)
(4875,13.264339263213065)
(6946,12.774663629985245)
(3352,12.599003998596965)
